Date,Open,High,Low,Close,Adj Close,Volume
10/13/2021,141.240005493,141.399993896,139.199996948,140.910003662,139.115158081,78762700
10/14/2021,142.110000610,143.880004883,141.509994507,143.759994507,141.928848267,69907100
10/15/2021,143.770004272,144.899993896,143.509994507,144.839996338,142.995086670,67940300
10/18/2021,143.449996948,146.839996338,143.160003662,146.550003052,144.683303833,85589200
10/19/2021,147.009994507,149.169998169,146.550003052,148.759994507,146.865142822,76378900
10/20/2021,148.699996948,149.750000000,148.119995117,149.259994507,147.358779907,58418800
10/21/2021,148.809997559,149.639999390,147.869995117,149.479995728,147.575988770,61421000
10/22/2021,149.690002441,150.179992676,148.639999390,148.690002441,146.796066284,58883400
10/25/2021,148.679992676,149.369995117,147.619995117,148.639999390,146.746673584,50720600
10/26/2021,149.330001831,150.839996338,149.009994507,149.320007324,147.418045044,60893400
10/27/2021,149.360000610,149.729995728,148.490005493,148.850006104,146.954025269,56094900
10/28/2021,149.820007324,153.169998169,149.720001221,152.570007324,150.626632690,100077900
10/29/2021,147.220001221,149.940002441,146.410003662,149.800003052,147.891921997,124953200
11/1/2021,148.990005493,149.699996948,147.800003052,148.960006714,147.062606812,74588300
11/2/2021,148.660003662,151.570007324,148.649993896,150.020004272,148.109115601,69122000
11/3/2021,150.389999390,151.970001221,149.820007324,151.490005493,149.560409546,54511500
11/4/2021,151.580001831,152.429992676,150.639999390,150.960006714,149.037109375,60394600
11/5/2021,151.889999390,152.199996948,150.059997559,151.279998779,149.571044922,65463900
11/8/2021,151.410003662,151.570007324,150.160003662,150.440002441,148.740524292,55020900
11/9/2021,150.199996948,151.429992676,150.059997559,150.809997559,149.106338501,56787900
11/10/2021,150.020004272,150.130004883,147.850006104,147.919998169,146.249008179,65187100
11/11/2021,148.960006714,149.429992676,147.679992676,147.869995117,146.199554443,41000000
11/12/2021,148.429992676,150.399993896,147.479995728,149.990005493,148.295623779,63804000
11/15/2021,150.369995117,151.880004883,149.429992676,150.000000000,148.305496216,59222800
11/16/2021,149.940002441,151.490005493,149.339996338,151.000000000,149.294204712,59256200
11/17/2021,151.000000000,155.000000000,150.990005493,153.490005493,151.756072998,88807000
11/18/2021,153.710006714,158.669998169,153.050003052,157.869995117,156.086578369,137827700
11/19/2021,157.649993896,161.020004272,156.529998779,160.550003052,158.736297607,117305600
11/22/2021,161.679992676,165.699996948,161.000000000,161.020004272,159.201019287,117467900
11/23/2021,161.119995117,161.800003052,159.059997559,161.410003662,159.586608887,96041900
11/24/2021,160.750000000,162.139999390,159.639999390,161.940002441,160.110610962,69463600
11/26/2021,159.570007324,160.449996948,156.360000610,156.809997559,155.038558960,76959800
11/29/2021,159.369995117,161.190002441,158.789993286,160.240005493,158.429840088,88748200
11/30/2021,159.990005493,165.520004272,159.919998169,165.300003052,163.432662964,174048100
12/1/2021,167.479995728,170.300003052,164.529998779,164.770004272,162.908660889,152052500
12/2/2021,158.740005493,164.199996948,157.800003052,163.759994507,161.910049438,136739200
12/3/2021,164.020004272,164.960006714,159.720001221,161.839996338,160.011734009,118023100
12/6/2021,164.289993286,167.880004883,164.279998779,165.320007324,163.452453613,107497000
12/7/2021,169.080001831,171.580001831,168.339996338,171.179992676,169.246231079,120405400
12/8/2021,172.130004883,175.960006714,170.699996948,175.080001831,173.102172852,116998900
12/9/2021,174.910003662,176.750000000,173.919998169,174.559997559,172.588043213,108923700
12/10/2021,175.210006714,179.630004883,174.690002441,179.449996948,177.422805786,115402700
12/13/2021,181.119995117,182.130004883,175.529998779,175.740005493,173.754714966,153237000
12/14/2021,175.250000000,177.740005493,172.210006714,174.330001831,172.360656738,139380400
12/15/2021,175.110000610,179.500000000,172.309997559,179.300003052,177.274505615,131063300
12/16/2021,179.279998779,181.139999390,170.750000000,172.259994507,170.314041138,150185800
12/17/2021,169.929992676,173.470001221,169.690002441,171.139999390,169.206695557,195432700
12/20/2021,168.279998779,170.580001831,167.460006714,169.750000000,167.832382202,107499100
12/21/2021,171.559997559,173.199996948,169.119995117,172.990005493,171.035781860,91185900
12/22/2021,173.039993286,175.860000610,172.149993896,175.639999390,173.655838013,92135300
12/23/2021,175.850006104,176.850006104,175.270004272,176.279998779,174.288635254,68356600
12/27/2021,177.089996338,180.419998169,177.070007324,180.330001831,178.292877197,74919600
12/28/2021,180.160003662,181.330001831,178.529998779,179.289993286,177.264602661,79144300
12/29/2021,179.330001831,180.630004883,178.139999390,179.380004883,177.353622437,62348900
12/30/2021,179.470001221,180.570007324,178.089996338,178.199996948,176.186950684,59773000
12/31/2021,178.089996338,179.229995728,177.259994507,177.570007324,175.564071655,64062300
1/3/2022,177.830001831,182.880004883,177.710006714,182.009994507,179.953887939,104487900
1/4/2022,182.630004883,182.940002441,179.119995117,179.699996948,177.669982910,99310400
1/5/2022,179.610000610,180.169998169,174.639999390,174.919998169,172.943984985,94537600
1/6/2022,172.699996948,175.300003052,171.639999390,172.000000000,170.056961060,96904000
